year,country,built_reactors,shutdown_reactors,operating_reactors
1965,ITA,3,0,3
1966,ITA,3,0,3
1967,ITA,3,0,3
1968,ITA,3,0,3
1969,ITA,3,0,3
1970,ITA,3,0,3
1971,ITA,3,0,3
1972,ITA,3,0,3
1973,ITA,3,0,3
1974,ITA,3,0,3
1975,ITA,3,0,3
1976,ITA,3,0,3
1977,ITA,3,0,3
1978,ITA,4,0,4
1979,ITA,4,0,4
1980,ITA,4,0,4
1981,ITA,4,0,4
1982,ITA,4,1,3
1983,ITA,4,1,3
1984,ITA,4,1,3
1985,ITA,4,1,3
1986,ITA,4,1,3
1987,ITA,4,2,2
1988,ITA,4,2,2
1989,ITA,4,2,2
1990,ITA,4,4,0
1991,ITA,4,4,0
1992,ITA,4,4,0
1993,ITA,4,4,0
1994,ITA,4,4,0
1995,ITA,4,4,0
1996,ITA,4,4,0
1997,ITA,4,4,0
1998,ITA,4,4,0
1999,ITA,4,4,0
2000,ITA,4,4,0
2001,ITA,4,4,0
2002,ITA,4,4,0
2003,ITA,4,4,0
2004,ITA,4,4,0
2005,ITA,4,4,0
2006,ITA,4,4,0
2007,ITA,4,4,0
2008,ITA,4,4,0
2009,ITA,4,4,0
2010,ITA,4,4,0
2011,ITA,4,4,0
2012,ITA,4,4,0
2013,ITA,4,4,0
2014,ITA,4,4,0
2015,ITA,4,4,0
2016,ITA,4,4,0
2017,ITA,4,4,0
2018,ITA,4,4,0
2019,ITA,4,4,0
2020,ITA,4,4,0
1963,JPN,1,0,1
1964,JPN,1,0,1
1965,JPN,2,0,2
1966,JPN,2,0,2
1967,JPN,2,0,2
1968,JPN,2,0,2
1969,JPN,3,0,3
1970,JPN,5,0,5
1971,JPN,5,0,5
1972,JPN,6,0,6
1973,JPN,8,0,8
1974,JPN,11,0,11
1975,JPN,13,0,13
1976,JPN,14,1,13
1977,JPN,17,1,16
1978,JPN,22,1,21
1979,JPN,23,1,22
1980,JPN,24,1,23
1981,JPN,26,1,25
1982,JPN,26,1,25
1983,JPN,29,1,28
1984,JPN,32,1,31
1985,JPN,34,1,33
1986,JPN,36,1,35
1987,JPN,37,1,36
1988,JPN,39,1,38
1989,JPN,40,1,39
1990,JPN,42,1,41
1991,JPN,43,1,42
1992,JPN,45,1,44
1993,JPN,49,1,48
1994,JPN,51,1,50
1995,JPN,52,1,51
1996,JPN,55,1,54
1997,JPN,55,1,54
1998,JPN,55,2,53
1999,JPN,55,2,53
2000,JPN,55,2,53
2001,JPN,56,2,54
2002,JPN,56,2,54
2003,JPN,56,3,53
2004,JPN,57,3,54
2005,JPN,59,3,56
2006,JPN,59,3,56
2007,JPN,59,3,56
2008,JPN,59,3,56
2009,JPN,60,5,55
2010,JPN,60,5,55
2011,JPN,60,9,51
2012,JPN,60,9,51
2013,JPN,60,11,49
2014,JPN,60,11,49
2015,JPN,60,16,44
2016,JPN,60,17,43
2017,JPN,60,18,42
2018,JPN,60,22,38
2019,JPN,60,27,33
2020,JPN,60,27,33
1977,KOR,1,0,1
1978,KOR,1,0,1
1979,KOR,1,0,1
1980,KOR,1,0,1
1981,KOR,1,0,1
1982,KOR,2,0,2
1983,KOR,3,0,3
1984,KOR,3,0,3
1985,KOR,5,0,5
1986,KOR,7,0,7
1987,KOR,7,0,7
1988,KOR,8,0,8
1989,KOR,9,0,9
1990,KOR,9,0,9
1991,KOR,9,0,9
1992,KOR,9,0,9
1993,KOR,9,0,9
1994,KOR,10,0,10
1995,KOR,11,0,11
1996,KOR,11,0,11
1997,KOR,12,0,12
1998,KOR,15,0,15
1999,KOR,16,0,16
2000,KOR,16,0,16
2001,KOR,17,0,17
2002,KOR,18,0,18
2003,KOR,19,0,19
2004,KOR,19,0,19
2005,KOR,20,0,20
2006,KOR,20,0,20
2007,KOR,20,0,20
2008,KOR,20,0,20
2009,KOR,20,0,20
2010,KOR,21,0,21
2011,KOR,21,0,21
2012,KOR,23,0,23
2013,KOR,23,0,23
2014,KOR,23,0,23
2015,KOR,24,0,24
2016,KOR,25,0,25
2017,KOR,25,1,24
2018,KOR,25,1,24
2019,KOR,26,2,24
2020,KOR,26,2,24
1973,KAZ,1,0,1
1974,KAZ,1,0,1
1975,KAZ,1,0,1
1976,KAZ,1,0,1
1977,KAZ,1,0,1
1978,KAZ,1,0,1
1979,KAZ,1,0,1
1980,KAZ,1,0,1
1981,KAZ,1,0,1
1982,KAZ,1,0,1
1983,KAZ,1,0,1
1984,KAZ,1,0,1
1985,KAZ,1,0,1
1986,KAZ,1,0,1
1987,KAZ,1,0,1
1988,KAZ,1,0,1
1989,KAZ,1,0,1
1990,KAZ,1,0,1
1991,KAZ,1,0,1
1992,KAZ,1,0,1
1993,KAZ,1,0,1
1994,KAZ,1,0,1
1995,KAZ,1,0,1
1996,KAZ,1,0,1
1997,KAZ,1,0,1
1998,KAZ,1,0,1
1999,KAZ,1,1,0
2000,KAZ,1,1,0
2001,KAZ,1,1,0
2002,KAZ,1,1,0
2003,KAZ,1,1,0
2004,KAZ,1,1,0
2005,KAZ,1,1,0
2006,KAZ,1,1,0
2007,KAZ,1,1,0
2008,KAZ,1,1,0
2009,KAZ,1,1,0
2010,KAZ,1,1,0
2011,KAZ,1,1,0
2012,KAZ,1,1,0
2013,KAZ,1,1,0
2014,KAZ,1,1,0
2015,KAZ,1,1,0
2016,KAZ,1,1,0
2017,KAZ,1,1,0
2018,KAZ,1,1,0
2019,KAZ,1,1,0
2020,KAZ,1,1,0
1983,LTU,1,0,1
1984,LTU,1,0,1
1985,LTU,1,0,1
1986,LTU,1,0,1
1987,LTU,2,0,2
1988,LTU,2,0,2
1989,LTU,2,0,2
1990,LTU,2,0,2
1991,LTU,2,0,2
1992,LTU,2,0,2
1993,LTU,2,0,2
1994,LTU,2,0,2
1995,LTU,2,0,2
1996,LTU,2,0,2
1997,LTU,2,0,2
1998,LTU,2,0,2
1999,LTU,2,0,2
2000,LTU,2,0,2
2001,LTU,2,0,2
2002,LTU,2,0,2
2003,LTU,2,0,2
2004,LTU,2,1,1
2005,LTU,2,1,1
2006,LTU,2,1,1
2007,LTU,2,1,1
2008,LTU,2,1,1
2009,LTU,2,2,0
2010,LTU,2,2,0
2011,LTU,2,2,0
2012,LTU,2,2,0
2013,LTU,2,2,0
2014,LTU,2,2,0
2015,LTU,2,2,0
2016,LTU,2,2,0
2017,LTU,2,2,0
2018,LTU,2,2,0
2019,LTU,2,2,0
2020,LTU,2,2,0
1989,MEX,1,0,1
1990,MEX,1,0,1
1991,MEX,1,0,1
1992,MEX,1,0,1
1993,MEX,1,0,1
1994,MEX,2,0,2
1995,MEX,2,0,2
1996,MEX,2,0,2
1997,MEX,2,0,2
1998,MEX,2,0,2
1999,MEX,2,0,2
2000,MEX,2,0,2
2001,MEX,2,0,2
2002,MEX,2,0,2
2003,MEX,2,0,2
2004,MEX,2,0,2
2005,MEX,2,0,2
2006,MEX,2,0,2
2007,MEX,2,0,2
2008,MEX,2,0,2
2009,MEX,2,0,2
2010,MEX,2,0,2
2011,MEX,2,0,2
2012,MEX,2,0,2
2013,MEX,2,0,2
2014,MEX,2,0,2
2015,MEX,2,0,2
2016,MEX,2,0,2
2017,MEX,2,0,2
2018,MEX,2,0,2
2019,MEX,2,0,2
2020,MEX,2,0,2
1968,NLD,1,0,1
1969,NLD,1,0,1
1970,NLD,1,0,1
1971,NLD,1,0,1
1972,NLD,1,0,1
1973,NLD,2,0,2
1974,NLD,2,0,2
1975,NLD,2,0,2
1976,NLD,2,0,2
1977,NLD,2,0,2
1978,NLD,2,0,2
1979,NLD,2,0,2
1980,NLD,2,0,2
1981,NLD,2,0,2
1982,NLD,2,0,2
1983,NLD,2,0,2
1984,NLD,2,0,2
1985,NLD,2,0,2
1986,NLD,2,0,2
1987,NLD,2,0,2
1988,NLD,2,0,2
1989,NLD,2,0,2
1990,NLD,2,0,2
1991,NLD,2,0,2
1992,NLD,2,0,2
1993,NLD,2,0,2
1994,NLD,2,0,2
1995,NLD,2,0,2
1996,NLD,2,0,2
1997,NLD,2,1,1
1998,NLD,2,1,1
1999,NLD,2,1,1
2000,NLD,2,1,1
2001,NLD,2,1,1
2002,NLD,2,1,1
2003,NLD,2,1,1
2004,NLD,2,1,1
2005,NLD,2,1,1
2006,NLD,2,1,1
2007,NLD,2,1,1
2008,NLD,2,1,1
2009,NLD,2,1,1
2010,NLD,2,1,1
2011,NLD,2,1,1
2012,NLD,2,1,1
2013,NLD,2,1,1
2014,NLD,2,1,1
2015,NLD,2,1,1
2016,NLD,2,1,1
2017,NLD,2,1,1
2018,NLD,2,1,1
2019,NLD,2,1,1
2020,NLD,2,1,1
1971,PAK,1,0,1
1972,PAK,1,0,1
1973,PAK,1,0,1
1974,PAK,1,0,1
1975,PAK,1,0,1
1976,PAK,1,0,1
1977,PAK,1,0,1
1978,PAK,1,0,1
1979,PAK,1,0,1
1980,PAK,1,0,1
1981,PAK,1,0,1
1982,PAK,1,0,1
1983,PAK,1,0,1
1984,PAK,1,0,1
1985,PAK,1,0,1
1986,PAK,1,0,1
1987,PAK,1,0,1
1988,PAK,1,0,1
1989,PAK,1,0,1
1990,PAK,1,0,1
1991,PAK,1,0,1
1992,PAK,1,0,1
1993,PAK,1,0,1
1994,PAK,1,0,1
1995,PAK,1,0,1
1996,PAK,1,0,1
1997,PAK,1,0,1
1998,PAK,1,0,1
1999,PAK,1,0,1
2000,PAK,2,0,2
2001,PAK,2,0,2
2002,PAK,2,0,2
2003,PAK,2,0,2
2004,PAK,2,0,2
2005,PAK,2,0,2
2006,PAK,2,0,2
2007,PAK,2,0,2
2008,PAK,2,0,2
2009,PAK,2,0,2
2010,PAK,2,0,2
2011,PAK,3,0,3
2012,PAK,3,0,3
2013,PAK,3,0,3
2014,PAK,3,0,3
2015,PAK,3,0,3
2016,PAK,3,0,3
2017,PAK,3,0,3
2018,PAK,3,0,3
2019,PAK,3,0,3
2020,PAK,3,0,3
1996,ROU,1,0,1
1997,ROU,1,0,1
1998,ROU,1,0,1
1999,ROU,1,0,1
2000,ROU,1,0,1
2001,ROU,1,0,1
2002,ROU,1,0,1
2003,ROU,1,0,1
2004,ROU,1,0,1
2005,ROU,1,0,1
2006,ROU,1,0,1
2007,ROU,2,0,2
2008,ROU,2,0,2
2009,ROU,2,0,2
2010,ROU,2,0,2
2011,ROU,2,0,2
2012,ROU,2,0,2
2013,ROU,2,0,2
2014,ROU,2,0,2
2015,ROU,2,0,2
2016,ROU,2,0,2
2017,ROU,2,0,2
2018,ROU,2,0,2
2019,ROU,2,0,2
2020,ROU,2,0,2
1954,RUS,1,0,1
1955,RUS,1,0,1
1956,RUS,1,0,1
1957,RUS,1,0,1
1958,RUS,1,0,1
1959,RUS,1,0,1
1960,RUS,1,0,1
1961,RUS,1,0,1
1962,RUS,1,0,1
1963,RUS,1,0,1
1964,RUS,3,0,3
1965,RUS,3,0,3
1966,RUS,3,0,3
1967,RUS,4,0,4
1968,RUS,4,0,4
1969,RUS,5,0,5
1970,RUS,5,0,5
1971,RUS,6,0,6
1972,RUS,7,0,7
1973,RUS,9,0,9
1974,RUS,12,0,12
1975,RUS,14,0,14
1976,RUS,16,0,16
1977,RUS,16,0,16
1978,RUS,16,0,16
1979,RUS,18,0,18
1980,RUS,20,0,20
1981,RUS,22,0,22
1982,RUS,23,0,23
1983,RUS,24,1,23
1984,RUS,26,1,25
1985,RUS,29,1,28
1986,RUS,30,1,29
1987,RUS,31,1,30
1988,RUS,32,2,30
1989,RUS,32,2,30
1990,RUS,33,4,29
1991,RUS,33,4,29
1992,RUS,33,4,29
1993,RUS,34,4,30
1994,RUS,34,4,30
1995,RUS,34,4,30
1996,RUS,34,4,30
1997,RUS,34,4,30
1998,RUS,34,4,30
1999,RUS,34,4,30
2000,RUS,34,4,30
2001,RUS,35,4,31
2002,RUS,35,5,30
2003,RUS,35,5,30
2004,RUS,36,5,31
2005,RUS,36,5,31
2006,RUS,36,5,31
2007,RUS,36,5,31
2008,RUS,36,5,31
2009,RUS,36,5,31
2010,RUS,37,5,32
2011,RUS,38,5,33
2012,RUS,38,5,33
2013,RUS,38,5,33
2014,RUS,39,5,34
2015,RUS,40,5,35
2016,RUS,41,6,35
2017,RUS,41,6,35
2018,RUS,43,7,36
2019,RUS,46,8,38
2020,RUS,47,9,38
1964,SWE,1,0,1
1965,SWE,1,0,1
1966,SWE,1,0,1
1967,SWE,1,0,1
1968,SWE,1,0,1
1969,SWE,1,0,1
1970,SWE,1,0,1
1971,SWE,2,0,2
1972,SWE,2,0,2
1973,SWE,2,0,2
1974,SWE,5,1,4
1975,SWE,6,1,5
1976,SWE,6,1,5
1977,SWE,7,1,6
1978,SWE,7,1,6
1979,SWE,7,1,6
1980,SWE,9,1,8
1981,SWE,10,1,9
1982,SWE,11,1,10
1983,SWE,11,1,10
1984,SWE,11,1,10
1985,SWE,13,1,12
1986,SWE,13,1,12
1987,SWE,13,1,12
1988,SWE,13,1,12
1989,SWE,13,1,12
1990,SWE,13,1,12
1991,SWE,13,1,12
1992,SWE,13,1,12
1993,SWE,13,1,12
1994,SWE,13,1,12
1995,SWE,13,1,12
1996,SWE,13,1,12
1997,SWE,13,1,12
1998,SWE,13,1,12
1999,SWE,13,2,11
2000,SWE,13,2,11
2001,SWE,13,2,11
2002,SWE,13,2,11
2003,SWE,13,2,11
2004,SWE,13,2,11
2005,SWE,13,3,10
2006,SWE,13,3,10
2007,SWE,13,3,10
2008,SWE,13,3,10
2009,SWE,13,3,10
2010,SWE,13,3,10
2011,SWE,13,3,10
2012,SWE,13,3,10
2013,SWE,13,3,10
2014,SWE,13,3,10
2015,SWE,13,3,10
2016,SWE,13,4,9
2017,SWE,13,5,8
2018,SWE,13,5,8
2019,SWE,13,6,7
2020,SWE,13,6,7
1981,SVN,1,0,1
1982,SVN,1,0,1
1983,SVN,1,0,1
1984,SVN,1,0,1
1985,SVN,1,0,1
1986,SVN,1,0,1
1987,SVN,1,0,1
1988,SVN,1,0,1
1989,SVN,1,0,1
1990,SVN,1,0,1
1991,SVN,1,0,1
1992,SVN,1,0,1
1993,SVN,1,0,1
1994,SVN,1,0,1
1995,SVN,1,0,1
1996,SVN,1,0,1
1997,SVN,1,0,1
1998,SVN,1,0,1
1999,SVN,1,0,1
2000,SVN,1,0,1
2001,SVN,1,0,1
2002,SVN,1,0,1
2003,SVN,1,0,1
2004,SVN,1,0,1
2005,SVN,1,0,1
2006,SVN,1,0,1
2007,SVN,1,0,1
2008,SVN,1,0,1
2009,SVN,1,0,1
2010,SVN,1,0,1
2011,SVN,1,0,1
2012,SVN,1,0,1
2013,SVN,1,0,1
2014,SVN,1,0,1
2015,SVN,1,0,1
2016,SVN,1,0,1
2017,SVN,1,0,1
2018,SVN,1,0,1
2019,SVN,1,0,1
2020,SVN,1,0,1
1972,SVK,1,0,1
1973,SVK,1,0,1
1974,SVK,1,0,1
1975,SVK,1,0,1
1976,SVK,1,0,1
1977,SVK,1,1,0
1978,SVK,2,1,1
1979,SVK,2,1,1
1980,SVK,3,1,2
1981,SVK,3,1,2
1982,SVK,3,1,2
1983,SVK,3,1,2
1984,SVK,4,1,3
1985,SVK,5,1,4
1986,SVK,5,1,4
1987,SVK,5,1,4
1988,SVK,5,1,4
1989,SVK,5,1,4
1990,SVK,5,1,4
1991,SVK,5,1,4
1992,SVK,5,1,4
1993,SVK,5,1,4
1994,SVK,5,1,4
1995,SVK,5,1,4
1996,SVK,5,1,4
1997,SVK,5,1,4
1998,SVK,6,1,5
1999,SVK,7,1,6
2000,SVK,7,1,6
2001,SVK,7,1,6
2002,SVK,7,1,6
2003,SVK,7,1,6
2004,SVK,7,1,6
2005,SVK,7,1,6
2006,SVK,7,2,5
2007,SVK,7,2,5
2008,SVK,7,3,4
2009,SVK,7,3,4
2010,SVK,7,3,4
2011,SVK,7,3,4
2012,SVK,7,3,4
2013,SVK,7,3,4
2014,SVK,7,3,4
2015,SVK,7,3,4
2016,SVK,7,3,4
2017,SVK,7,3,4
2018,SVK,7,3,4
2019,SVK,7,3,4
2020,SVK,7,3,4
1977,TWN,1,0,1
1978,TWN,2,0,2
1979,TWN,2,0,2
1980,TWN,2,0,2
1981,TWN,3,0,3
1982,TWN,4,0,4
1983,TWN,4,0,4
1984,TWN,5,0,5
1985,TWN,6,0,6
1986,TWN,6,0,6
1987,TWN,6,0,6
1988,TWN,6,0,6
1989,TWN,6,0,6
1990,TWN,6,0,6
1991,TWN,6,0,6
1992,TWN,6,0,6
1993,TWN,6,0,6
1994,TWN,6,0,6
1995,TWN,6,0,6
1996,TWN,6,0,6
1997,TWN,6,0,6
1998,TWN,6,0,6
1999,TWN,6,0,6
2000,TWN,6,0,6
2001,TWN,6,0,6
2002,TWN,6,0,6
2003,TWN,6,0,6
2004,TWN,6,0,6
2005,TWN,6,0,6
2006,TWN,6,0,6
2007,TWN,6,0,6
2008,TWN,6,0,6
2009,TWN,6,0,6
2010,TWN,6,0,6
2011,TWN,6,0,6
2012,TWN,6,0,6
2013,TWN,6,0,6
2014,TWN,6,0,6
2015,TWN,6,0,6
2016,TWN,6,0,6
2017,TWN,6,0,6
2018,TWN,6,1,5
2019,TWN,6,2,4
2020,TWN,6,2,4
1977,UKR,1,0,1
1978,UKR,2,0,2
1979,UKR,2,0,2
1980,UKR,3,0,3
1981,UKR,5,0,5
1982,UKR,6,0,6
1983,UKR,7,0,7
1984,UKR,8,0,8
1985,UKR,10,0,10
1986,UKR,12,1,11
1987,UKR,14,1,13
1988,UKR,14,1,13
1989,UKR,16,1,15
1990,UKR,16,1,15
1991,UKR,16,2,14
1992,UKR,16,2,14
1993,UKR,16,2,14
1994,UKR,16,2,14
1995,UKR,17,2,15
1996,UKR,17,3,14
1997,UKR,17,3,14
1998,UKR,17,3,14
1999,UKR,17,3,14
2000,UKR,17,4,13
2001,UKR,17,4,13
2002,UKR,17,4,13
2003,UKR,17,4,13
2004,UKR,19,4,15
2005,UKR,19,4,15
2006,UKR,19,4,15
2007,UKR,19,4,15
2008,UKR,19,4,15
2009,UKR,19,4,15
2010,UKR,19,4,15
2011,UKR,19,4,15
2012,UKR,19,4,15
2013,UKR,19,4,15
2014,UKR,19,4,15
2015,UKR,19,4,15
2016,UKR,19,4,15
2017,UKR,19,4,15
2018,UKR,19,4,15
2019,UKR,19,4,15
2020,UKR,19,4,15
1957,USA,2,0,2
1958,USA,2,0,2
1959,USA,2,0,2
1960,USA,4,0,4
1961,USA,4,0,4
1962,USA,6,0,6
1963,USA,11,1,10
1964,USA,12,2,10
1965,USA,12,2,10
1966,USA,14,3,11
1967,USA,18,5,13
1968,USA,19,7,12
1969,USA,22,7,15
1970,USA,26,7,19
1971,USA,29,7,22
1972,USA,37,9,28
1973,USA,47,9,38
1974,USA,59,11,48
1975,USA,65,11,54
1976,USA,73,12,61
1977,USA,76,12,64
1978,USA,81,13,68
1979,USA,81,14,67
1980,USA,83,14,69
1981,USA,87,14,73
1982,USA,91,15,76
1983,USA,94,15,79
1984,USA,100,15,85
1985,USA,108,15,93
1986,USA,115,15,100
1987,USA,123,16,107
1988,USA,125,16,109
1989,USA,128,19,109
1990,USA,130,19,111
1991,USA,130,20,110
1992,USA,130,22,108
1993,USA,131,22,109
1994,USA,131,22,109
1995,USA,131,22,109
1996,USA,132,23,109
1997,USA,132,25,107
1998,USA,132,28,104
1999,USA,132,28,104
2000,USA,132,28,104
2001,USA,132,28,104
2002,USA,132,28,104
2003,USA,132,28,104
2004,USA,132,28,104
2005,USA,132,28,104
2006,USA,132,28,104
2007,USA,132,28,104
2008,USA,132,28,104
2009,USA,132,28,104
2010,USA,132,28,104
2011,USA,132,28,104
2012,USA,132,28,104
2013,USA,132,32,100
2014,USA,132,33,99
2015,USA,132,33,99
2016,USA,133,34,99
2017,USA,133,34,99
2018,USA,133,35,98
2019,USA,133,37,96
2020,USA,133,39,94
1984,ZAF,1,0,1
1985,ZAF,2,0,2
1986,ZAF,2,0,2
1987,ZAF,2,0,2
1988,ZAF,2,0,2
1989,ZAF,2,0,2
1990,ZAF,2,0,2
1991,ZAF,2,0,2
1992,ZAF,2,0,2
1993,ZAF,2,0,2
1994,ZAF,2,0,2
1995,ZAF,2,0,2
1996,ZAF,2,0,2
1997,ZAF,2,0,2
1998,ZAF,2,0,2
1999,ZAF,2,0,2
2000,ZAF,2,0,2
2001,ZAF,2,0,2
2002,ZAF,2,0,2
2003,ZAF,2,0,2
2004,ZAF,2,0,2
2005,ZAF,2,0,2
2006,ZAF,2,0,2
2007,ZAF,2,0,2
2008,ZAF,2,0,2
2009,ZAF,2,0,2
2010,ZAF,2,0,2
2011,ZAF,2,0,2
2012,ZAF,2,0,2
2013,ZAF,2,0,2
2014,ZAF,2,0,2
2015,ZAF,2,0,2
2016,ZAF,2,0,2
2017,ZAF,2,0,2
2018,ZAF,2,0,2
2019,ZAF,2,0,2
2020,ZAF,2,0,2
